``,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0,0 0 0
228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111
228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111
228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111
228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111
228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111
228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111
228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111
228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111
228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111
228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111
228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111
228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111
228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,0 28 136,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111,228 111 111
